label,Population,Sex,Treatment,Individual,Side,Centroid Size,Log Centroid Size
G9_F_D_33_U,G9,F,D,33,U,2.828297428,1.039674915
G9_F_D_34_U,G9,F,D,34,U,2.877053533,1.056766692
G9_F_D_35_U,G9,F,D,35,U,2.72854899,1.003769962
G9_F_D_36_U,G9,F,D,36,U,3.021681836,1.105813576
G9_F_D_37_U,G9,F,D,37,U,2.983155705,1.092981702
G9_F_D_38_U,G9,F,D,38,U,2.805169591,1.031463998
G9_F_D_39_U,G9,F,D,39,U,2.801519832,1.030162067
G9_F_D_40_U,G9,F,D,40,U,2.864910274,1.052537032
G9_F_D_41_U,G9,F,D,41,U,2.987956826,1.094589818
G9_F_D_42_U,G9,F,D,42,U,2.775484186,1.020825214
G9_F_D_43_U,G9,F,D,43,U,2.757094629,1.014177455
G9_F_D_44_U,G9,F,D,44,U,2.376660091,0.865696179
G9_F_D_45_U,G9,F,D,45,U,2.850861262,1.047621146
G9_F_D_46_U,G9,F,D,46,U,2.938228662,1.077806904
G9_F_D_47_U,G9,F,D,47,U,2.518167703,0.923531535
G9_F_D_48_U,G9,F,D,48,U,2.738575163,1.007437772
G9_F_D_49_U,G9,F,D,49,U,2.893484795,1.062461587
G9_F_D_50_U,G9,F,D,50,U,2.916637656,1.070431465
G9_F_D_51_U,G9,F,D,51,U,2.721506636,1.001185637
G9_F_D_52_U,G9,F,D,52,U,2.893028795,1.062303979
G9_F_D_53_U,G9,F,D,53,U,2.887073422,1.060243332
G9_F_D_54_U,G9,F,D,54,U,2.70926386,0.99667696
G9_F_S_01_L,G9,F,S,1,L,2.461109751,0.900612367
G9_F_S_01_R,G9,F,S,1,R,2.449964305,0.896073455
G9_F_S_02_L,G9,F,S,2,L,2.71487966,0.998747628
G9_F_S_02_R,G9,F,S,2,R,2.70757325,0.996052754
G9_F_S_03_L,G9,F,S,3,L,2.570443686,0.944078525
G9_F_S_03_R,G9,F,S,3,R,2.57411781,0.945506877
G9_F_S_04_L,G9,F,S,4,L,2.731488699,1.004846772
G9_F_S_04_R,G9,F,S,4,R,2.727457589,1.003369889
G9_F_S_05_L,G9,F,S,5,L,2.636586887,0.969485235
G9_F_S_05_R,G9,F,S,5,R,2.642545702,0.971742734
G9_F_S_06_L,G9,F,S,6,L,3.035479229,1.110369313
G9_F_S_06_R,G9,F,S,6,R,3.048601241,1.114682876
G9_F_S_07_L,G9,F,S,7,L,2.908838749,1.067753946
G9_F_S_07_R,G9,F,S,7,R,2.90667433,1.067009586
G9_F_S_08_L,G9,F,S,8,L,2.763676759,1.016561952
G9_F_S_08_R,G9,F,S,8,R,2.769833533,1.018787222
G9_F_S_09_L,G9,F,S,9,L,2.638539249,0.970225449
G9_F_S_09_R,G9,F,S,9,R,2.635562846,0.969096763
G9_F_S_10_L,G9,F,S,10,L,2.387971207,0.870444138
G9_F_S_10_R,G9,F,S,10,R,2.391859677,0.872071171
G9_F_S_11_L,G9,F,S,11,L,2.659409297,0.978104029
G9_F_S_11_R,G9,F,S,11,R,2.663376011,0.979594495
G9_F_S_12_L,G9,F,S,12,L,2.849850677,1.047266599
G9_F_S_12_R,G9,F,S,12,R,2.862442169,1.051675166
G9_F_S_13_L,G9,F,S,13,L,2.640935181,0.97113309
G9_F_S_13_R,G9,F,S,13,R,2.654533695,0.976269006
G9_F_S_14_L,G9,F,S,14,L,2.522132581,0.925104806
G9_F_S_14_R,G9,F,S,14,R,2.529939494,0.928195387
G9_F_S_15_L,G9,F,S,15,L,2.834525911,1.041874696
G9_F_S_15_R,G9,F,S,15,R,2.841501157,1.044332489
G9_F_S_16_L,G9,F,S,16,L,2.72249472,1.001548637
G9_F_S_16_R,G9,F,S,16,R,2.736900484,1.00682607
G9_F_S_17_L,G9,F,S,17,L,2.819837392,1.036679221
G9_F_S_17_R,G9,F,S,17,R,2.8371608,1.042803834
G9_F_S_18_L,G9,F,S,18,L,2.943298434,1.079530869
G9_F_S_18_R,G9,F,S,18,R,2.968912271,1.088195647
G9_F_S_19_L,G9,F,S,19,L,2.598677181,0.955002539
G9_F_S_19_R,G9,F,S,19,R,2.599046946,0.955144818
G9_F_S_20_L,G9,F,S,20,L,2.66645563,0.980750111
G9_F_S_20_R,G9,F,S,20,R,2.680969102,0.986178334
G9_F_S_21_L,G9,F,S,21,L,2.737096082,1.006897534
G9_F_S_21_R,G9,F,S,21,R,2.738604144,1.007448354
G9_F_S_22_L,G9,F,S,22,L,2.741187259,1.008391133
G9_F_S_22_R,G9,F,S,22,R,2.720766837,1.000913766
