Line,Temp,Sex,Code,Ind,CsizeScaled,Pop,Elevation,Lat,Lon
NG2,18C,F,50810,4,4.844917095,NG,295,11.85,13.16
NG2,18C,F,50810,5,4.908927601,NG,295,11.85,13.16
NG3,18C,F,50810,1,4.61888245,NG,295,11.85,13.16
NG3,18C,F,50810,2,4.933196267,NG,295,11.85,13.16
NG3,18C,F,50810,3,4.483006386,NG,295,11.85,13.16
NG3,18C,F,50810,4,4.892250521,NG,295,11.85,13.16
NG3,18C,F,50810,5,4.903172667,NG,295,11.85,13.16
NG4,18C,F,50810,1,4.585787961,NG,295,11.85,13.16
NG4,18C,F,50810,2,4.769897016,NG,295,11.85,13.16
NG4,18C,F,50810,3,4.398196765,NG,295,11.85,13.16
NG4,18C,F,50810,5,4.798490365,NG,295,11.85,13.16
NG5,18C,F,50710,1,4.849407397,NG,295,11.85,13.16
NG5,18C,F,50710,2,4.833385962,NG,295,11.85,13.16
NG5,18C,F,50710,3,4.728391001,NG,295,11.85,13.16
NG5,18C,F,50710,4,4.870820769,NG,295,11.85,13.16
NG5,18C,F,50710,5,4.84752696,NG,295,11.85,13.16
NG1,18C,M,41210,1,3.90086355,NG,295,11.85,13.16
NG1,18C,M,41210,2,4.214139257,NG,295,11.85,13.16
NG1,18C,M,41210,3,4.380918497,NG,295,11.85,13.16
NG1,18C,M,41210,4,4.450554497,NG,295,11.85,13.16
NG1,18C,M,41210,5,4.116492143,NG,295,11.85,13.16
NG2,18C,M,41310,1,4.494321447,NG,295,11.85,13.16
NG2,18C,M,41310,2,4.358368001,NG,295,11.85,13.16
NG2,18C,M,41310,3,4.590157795,NG,295,11.85,13.16
NG2,18C,M,41310,4,4.285370961,NG,295,11.85,13.16
NG2,18C,M,41310,5,4.431420618,NG,295,11.85,13.16
NG3,18C,M,41210,1,3.86099223,NG,295,11.85,13.16
NG3,18C,M,41210,2,4.140322527,NG,295,11.85,13.16
NG3,18C,M,41210,3,4.153539557,NG,295,11.85,13.16
NG3,18C,M,41210,4,3.755973591,NG,295,11.85,13.16
NG3,18C,M,41210,5,3.977609221,NG,295,11.85,13.16
NG4,18C,M,4910,1,4.165603847,NG,295,11.85,13.16
NG4,18C,M,4910,2,4.444939415,NG,295,11.85,13.16
NG4,18C,M,4910,3,4.094053275,NG,295,11.85,13.16
NG4,18C,M,4910,4,4.240880041,NG,295,11.85,13.16
NG4,18C,M,4910,5,4.307269967,NG,295,11.85,13.16
NG5,18C,M,41210,1,4.011984798,NG,295,11.85,13.16
NG5,18C,M,41210,2,4.234882456,NG,295,11.85,13.16
NG5,18C,M,41210,3,3.972558178,NG,295,11.85,13.16
NG5,18C,M,41210,4,3.927406372,NG,295,11.85,13.16
NG5,18C,M,41210,5,3.925786936,NG,295,11.85,13.16
CN2,24C,F,42310,1,3.85796886,CN,1121,5.5,10.68
CN2,24C,F,42310,2,4.097073745,CN,1121,5.5,10.68
CN2,24C,F,42310,3,4.882200755,CN,1121,5.5,10.68
CN2,24C,F,42310,4,4.843335167,CN,1121,5.5,10.68
CN2,24C,F,42310,5,3.699763185,CN,1121,5.5,10.68
CN3,24C,F,42310,1,4.372207157,CN,1121,5.5,10.68
CN3,24C,F,42310,2,4.329434591,CN,1121,5.5,10.68
CN3,24C,F,42310,3,4.329844505,CN,1121,5.5,10.68
CN3,24C,F,42310,4,4.131799915,CN,1121,5.5,10.68
CN3,24C,F,42310,5,4.140289378,CN,1121,5.5,10.68
CN4,24C,F,42310,1,4.468086327,CN,1121,5.5,10.68
CN4,24C,F,42310,2,4.917491349,CN,1121,5.5,10.68
CN4,24C,F,42310,3,4.634015728,CN,1121,5.5,10.68
CN4,24C,F,42310,4,4.668795837,CN,1121,5.5,10.68
CN4,24C,F,42310,5,5.086910944,CN,1121,5.5,10.68
CN5,24C,F,42610,1,4.589111402,CN,1121,5.5,10.68
CN5,24C,F,42610,2,4.448732364,CN,1121,5.5,10.68
CN5,24C,F,42610,3,4.753908906,CN,1121,5.5,10.68
CN5,24C,F,42610,4,4.163916561,CN,1121,5.5,10.68
CN5,24C,F,42610,5,4.203704877,CN,1121,5.5,10.68
CN6,24C,F,42610,1,4.20564957,CN,1121,5.5,10.68
CN6,24C,F,42610,2,4.282637486,CN,1121,5.5,10.68
CN6,24C,F,42610,3,4.281727841,CN,1121,5.5,10.68
CN6,24C,F,42610,5,4.087733659,CN,1121,5.5,10.68
CN2,24C,M,32310,1,3.909890061,CN,1121,5.5,10.68
CN2,24C,M,32310,2,4.007331838,CN,1121,5.5,10.68
CN2,24C,M,32310,3,4.217647706,CN,1121,5.5,10.68
CN2,24C,M,32310,5,4.441956826,CN,1121,5.5,10.68
CN2,24C,M,42010,1,3.921868544,CN,1121,5.5,10.68
CN2,24C,M,42010,2,4.00653175,CN,1121,5.5,10.68
CN3,24C,M,32510,1,4.104995494,CN,1121,5.5,10.68
CN3,24C,M,32510,3,3.932367078,CN,1121,5.5,10.68
CN3,24C,M,32510,4,3.894026142,CN,1121,5.5,10.68
